id	pronunciation	character	tone	rhymeCategory	meanings
142	선	?	平	先	날다;가볍게 날아 오르다;사람이 산 위에 있는 모양
143	이	以	上	紙	써;~로써;~을 가지고;부터;~에서;까닭;~와(과);함께;그리고;~이면서;생각하다;하다;쓰다(用);사용하다;거느리다;인솔하다;그치다;이(이것);매우;미치다;닮다;비슷하다
144	인	?	去	震	길(단위);재다;측량하다;차다(滿);충만하다;알다
145	자	仔	上/平	紙/支	자세하다;잘다;견디다;능히 해내다;새끼
146	장	仗	去/上	?/養	무기;병장기;호위;수위(守衛);의지하다;기대다;지팡이
147	천	仟	平	先	일천(一千);천 사람의 우두머리;두둑에 난 길;초목이 무성한 모양
148	타	他	平	歌	다르다;딴;그 밖의;관계가 없는;남(他人);그(그이);저(저이);누구
149	타	他	去	箇	겹치다;겹쳐 쌓이는 모양;짐을 싣다
150	흘	?	入	物	날래다;용감하다;높다;머리를 들다
151	올	?	入	月	불안한 모양;배가 움직이는 모양
152	개	价	去	卦	착하다;크다;갑옷을 입은 사람;심부름꾼
153	건	件	上	銑	사건;일;나누다;구별하다
154	급	伋	入	緝	속이다;사람 이름
155	기	企	去/上	?/紙	꾀하다;계획하다;발돋움하다;바라다;원하다
156	기	伎	上	紙	재주;기술;수완;광대;배우
157	기	伎	平	支	천천하다;천천한 모양
158	방	?	平	陽	헤매다;떠돌다;방황하다
159	방	?	上	養	비스름하다;많이 닮다;본뜨다;모방하다
160	벌	伐	入	月	치다;적을 공격하다;죄 주다;두드리다;종을 치다;베다;죽이다;자르다;끊다;공(功);공적;뽐내다;자랑하다;방패;병기
161	복	伏	入	屋	엎드리다;숨다;감추다;굴복하다;복종하다;살피다;엿보다;절후
162	복	伏	入	職	기다
163	부	伏	去	宥	알을 안다
164	비	?	上	紙	떠나다;헤어지다
165	비	?	平	支	추하다;보기 흉하다
166	빈	?	平	眞	빛나다
167	분	?	平	文	부분;일부분
168	심	?	上	寢	두려워하다;두려워하는 모양
169	침	?	去	沁	두려워하다;두려워하는 모양
170	앙	仰	上	養	우러르다;고개를 쳐들다;우러러보다;쳐다보다;존경하는 마음을 가지다;믿다;의지하다;따르다;그리워하다;마시다;들이키다;분부;명령
171	앙	仰	去	?	믿다;의지하다;기다리다
172	앙	仰	平	陽	높다;성내다;화내다
173	여	?	平	魚	아름답다;아름다운 모양;벼슬 이름
174	오	?	上	?	짝;상대;거스르다;어긋나다;검시(檢屍)하다
175	오	伍	上	?	대오;조(組);섞이다;서로 벗하다;벗;동지;다섯
176	이	伊	平	支	저(that);그(that);이(this);인(因)하다;의거하다;이탈리아
177	임	任	去/平	沁/侵	맡기다;주다;맡은 일;책무;직무;마음대로;멋대로;능하다;잘하다;공을 세우다;임신하다;맞다;당하다;책임을 맡다;견디다;비뚤어지다;협기;재능;재주;짐;부담
178	종	?	平	冬	두려워하다;겁내다;여러;대중;널리
179	중	仲	去	送	버금;둘째;가운데;백 살 먹은 쥐;중개
180	항	伉	去	?	짝;배필;굳세다;튼튼하다;맞서다;대적하다;거만하다;교만하다;높다;높이다;정직하다;정직한 모양
181	항	伉	平	陽	정직하다;정직한 모양
182	화	?	上	?	세간;기물;불(火)
183	휴	休	平	尤	쉬다;편하게 하다;잠을 자다;그치다;그만두다;휴가;겨를;아름답다;크다;좋다;기쁨;행복;너그럽다;넓다;검소하다;용서하다;달래다;정하다;정해지다;그만두다;이별하다
